ts,src,dst,sport,dport,proto,length
1765271953.9728665,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.0420482,10.0.0.1,10.0.0.2,40000,80,TCP,1466
1765271954.0910692,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.1130075,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.1254668,10.0.0.1,10.0.0.2,40000,80,TCP,381
1765271954.132597,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.1584723,10.0.0.1,10.0.0.2,40000,80,TCP,416
1765271954.2228951,10.0.0.1,10.0.0.2,40000,80,TCP,582
1765271954.2695713,10.0.0.1,10.0.0.2,40000,80,TCP,281
1765271954.3398416,10.0.0.1,10.0.0.2,40000,80,TCP,763
1765271954.3427815,10.0.0.1,10.0.0.2,40000,80,TCP,274
1765271954.3668864,10.0.0.1,10.0.0.2,40000,80,TCP,459
1765271954.449871,10.0.0.1,10.0.0.2,40000,80,TCP,336
1765271954.4515412,10.0.0.1,10.0.0.2,40000,80,TCP,907
1765271954.4545984,10.0.0.1,10.0.0.2,40000,80,TCP,1232
1765271954.4886904,10.0.0.1,10.0.0.2,40000,80,TCP,1193
1765271954.5226042,10.0.0.1,10.0.0.2,40000,80,TCP,608
1765271954.5750453,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.5858047,10.0.0.1,10.0.0.2,40000,80,TCP,1279
1765271954.589403,10.0.0.1,10.0.0.2,40000,80,TCP,102
1765271954.593696,10.0.0.1,10.0.0.2,40000,80,TCP,534
1765271954.6186352,10.0.0.1,10.0.0.2,40000,80,TCP,1100
1765271954.6349719,10.0.0.1,10.0.0.2,40000,80,TCP,694
1765271954.6384068,10.0.0.1,10.0.0.2,40000,80,TCP,1119
1765271954.6512947,10.0.0.1,10.0.0.2,40000,80,TCP,1162
1765271954.6962447,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.7186913,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.7440512,10.0.0.1,10.0.0.2,40000,80,TCP,1240
1765271954.7499673,10.0.0.1,10.0.0.2,40000,80,TCP,350
1765271954.8331015,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.8553638,10.0.0.1,10.0.0.2,40000,80,TCP,737
1765271954.922597,10.0.0.1,10.0.0.2,40000,80,TCP,287
1765271954.925578,10.0.0.1,10.0.0.2,40000,80,TCP,536
1765271954.9322052,10.0.0.1,10.0.0.2,40000,80,TCP,805
1765271954.9328494,10.0.0.1,10.0.0.2,40000,80,TCP,1348
1765271954.933934,10.0.0.1,10.0.0.2,40000,80,TCP,1166
1765271954.9426193,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.964705,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271954.9678466,10.0.0.1,10.0.0.2,40000,80,TCP,795
1765271954.986343,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.1001408,10.0.0.1,10.0.0.2,40000,80,TCP,865
1765271955.1531916,10.0.0.1,10.0.0.2,40000,80,TCP,1265
1765271955.165653,10.0.0.1,10.0.0.2,40000,80,TCP,1308
1765271955.1729093,10.0.0.1,10.0.0.2,40000,80,TCP,181
1765271955.1980612,10.0.0.1,10.0.0.2,40000,80,TCP,576
1765271955.24069,10.0.0.1,10.0.0.2,40000,80,TCP,291
1765271955.2472258,10.0.0.1,10.0.0.2,40000,80,TCP,1248
1765271955.255304,10.0.0.1,10.0.0.2,40000,80,TCP,1119
1765271955.2857325,10.0.0.1,10.0.0.2,40000,80,TCP,884
1765271955.3249652,10.0.0.1,10.0.0.2,40000,80,TCP,173
1765271955.4198136,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.4495668,10.0.0.1,10.0.0.2,40000,80,TCP,1244
1765271955.4951441,10.0.0.1,10.0.0.2,40000,80,TCP,1110
1765271955.5512283,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.5533926,10.0.0.1,10.0.0.2,40000,80,TCP,1447
1765271955.5734563,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.579036,10.0.0.1,10.0.0.2,40000,80,TCP,1425
1765271955.5967202,10.0.0.1,10.0.0.2,40000,80,TCP,1008
1765271955.627357,10.0.0.1,10.0.0.2,40000,80,TCP,899
1765271955.6289482,10.0.0.1,10.0.0.2,40000,80,TCP,1422
1765271955.636956,10.0.0.1,10.0.0.2,40000,80,TCP,439
1765271955.6862698,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.69592,10.0.0.1,10.0.0.2,40000,80,TCP,923
1765271955.7918363,10.0.0.1,10.0.0.2,40000,80,TCP,258
1765271955.7939022,10.0.0.1,10.0.0.2,40000,80,TCP,881
1765271955.806918,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.8082078,10.0.0.1,10.0.0.2,40000,80,TCP,341
1765271955.8124886,10.0.0.1,10.0.0.2,40000,80,TCP,604
1765271955.8296497,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.8364284,10.0.0.1,10.0.0.2,40000,80,TCP,948
1765271955.8463888,10.0.0.1,10.0.0.2,40000,80,TCP,110
1765271955.8496547,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271955.8677366,10.0.0.1,10.0.0.2,40000,80,TCP,1222
1765271955.9113357,10.0.0.1,10.0.0.2,40000,80,TCP,1319
1765271955.9386885,10.0.0.1,10.0.0.2,40000,80,TCP,536
1765271956.007872,10.0.0.1,10.0.0.2,40000,80,TCP,1071
1765271956.0698333,10.0.0.1,10.0.0.2,40000,80,TCP,524
1765271956.0840392,10.0.0.1,10.0.0.2,40000,80,TCP,184
1765271956.1353254,10.0.0.1,10.0.0.2,40000,80,TCP,1017
1765271956.151789,10.0.0.1,10.0.0.2,40000,80,TCP,1192
1765271956.1743772,10.0.0.1,10.0.0.2,40000,80,TCP,607
1765271956.2203717,10.0.0.1,10.0.0.2,40000,80,TCP,486
1765271956.2204595,10.0.0.1,10.0.0.2,40000,80,TCP,1306
1765271956.2652717,10.0.0.1,10.0.0.2,40000,80,TCP,355
1765271956.276523,10.0.0.1,10.0.0.2,40000,80,TCP,1211
1765271956.3109412,10.0.0.1,10.0.0.2,40000,80,TCP,428
1765271956.3482456,10.0.0.1,10.0.0.2,40000,80,TCP,1066
1765271956.354617,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.3801255,10.0.0.1,10.0.0.2,40000,80,TCP,794
1765271956.3920248,10.0.0.1,10.0.0.2,40000,80,TCP,1433
1765271956.4001112,10.0.0.1,10.0.0.2,40000,80,TCP,788
1765271956.4161127,10.0.0.1,10.0.0.2,40000,80,TCP,1213
1765271956.4329646,10.0.0.1,10.0.0.2,40000,80,TCP,698
1765271956.4380875,10.0.0.1,10.0.0.2,40000,80,TCP,993
1765271956.44389,10.0.0.1,10.0.0.2,40000,80,TCP,357
1765271956.444363,10.0.0.1,10.0.0.2,40000,80,TCP,373
1765271956.4640496,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.4850338,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.52129,10.0.0.1,10.0.0.2,40000,80,TCP,328
1765271956.5849226,10.0.0.1,10.0.0.2,40000,80,TCP,597
1765271956.5870032,10.0.0.1,10.0.0.2,40000,80,TCP,432
1765271956.5906448,10.0.0.1,10.0.0.2,40000,80,TCP,607
1765271956.6130748,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.646734,10.0.0.1,10.0.0.2,40000,80,TCP,1266
1765271956.6833389,10.0.0.1,10.0.0.2,40000,80,TCP,340
1765271956.7334275,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.7380672,10.0.0.1,10.0.0.2,40000,80,TCP,1435
1765271956.7551088,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.7609966,10.0.0.1,10.0.0.2,40000,80,TCP,1065
1765271956.7765846,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271956.7852483,10.0.0.1,10.0.0.2,40000,80,TCP,97
1765271956.7911508,10.0.0.1,10.0.0.2,40000,80,TCP,306
1765271956.8000097,10.0.0.1,10.0.0.2,40000,80,TCP,1130
1765271956.8500295,10.0.0.1,10.0.0.2,40000,80,TCP,828
1765271956.8599,10.0.0.1,10.0.0.2,40000,80,TCP,1474
1765271956.895287,10.0.0.1,10.0.0.2,40000,80,TCP,736
1765271956.9012523,10.0.0.1,10.0.0.2,40000,80,TCP,894
1765271956.908542,10.0.0.1,10.0.0.2,40000,80,TCP,885
1765271956.9112346,10.0.0.1,10.0.0.2,40000,80,TCP,1440
1765271956.914637,10.0.0.1,10.0.0.2,40000,80,TCP,791
1765271956.9155128,10.0.0.1,10.0.0.2,40000,80,TCP,167
1765271956.9438636,10.0.0.1,10.0.0.2,40000,80,TCP,1497
1765271957.0719042,10.0.0.1,10.0.0.2,40000,80,TCP,572
1765271957.0925248,10.0.0.1,10.0.0.2,40000,80,TCP,824
1765271957.1000476,10.0.0.1,10.0.0.2,40000,80,TCP,1074
1765271957.132137,10.0.0.1,10.0.0.2,40000,80,TCP,1489
1765271957.1381273,10.0.0.1,10.0.0.2,40000,80,TCP,691
1765271957.141558,10.0.0.1,10.0.0.2,40000,80,TCP,228
1765271957.1552906,10.0.0.1,10.0.0.2,40000,80,TCP,791
1765271957.2701283,10.0.0.1,10.0.0.2,40000,80,TCP,677
1765271957.278964,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.3092787,10.0.0.1,10.0.0.2,40000,80,TCP,503
1765271957.3585565,10.0.0.1,10.0.0.2,40000,80,TCP,159
1765271957.3873045,10.0.0.1,10.0.0.2,40000,80,TCP,816
1765271957.3989947,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.4185154,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.454365,10.0.0.1,10.0.0.2,40000,80,TCP,317
1765271957.5144718,10.0.0.1,10.0.0.2,40000,80,TCP,417
1765271957.546186,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.55962,10.0.0.1,10.0.0.2,40000,80,TCP,410
1765271957.562534,10.0.0.1,10.0.0.2,40000,80,TCP,1088
1765271957.5632863,10.0.0.1,10.0.0.2,40000,80,TCP,521
1765271957.5682828,10.0.0.1,10.0.0.2,40000,80,TCP,899
1765271957.5718846,10.0.0.1,10.0.0.2,40000,80,TCP,1072
1765271957.6558688,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.671017,10.0.0.1,10.0.0.2,40000,80,TCP,323
1765271957.6774035,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.6821258,10.0.0.1,10.0.0.2,40000,80,TCP,253
1765271957.6863832,10.0.0.1,10.0.0.2,40000,80,TCP,1255
1765271957.6981943,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271957.70389,10.0.0.1,10.0.0.2,40000,80,TCP,1022
1765271957.7511783,10.0.0.1,10.0.0.2,40000,80,TCP,620
1765271957.7636955,10.0.0.1,10.0.0.2,40000,80,TCP,861
1765271957.7979758,10.0.0.1,10.0.0.2,40000,80,TCP,87
1765271957.8703349,10.0.0.1,10.0.0.2,40000,80,TCP,228
1765271957.8740985,10.0.0.1,10.0.0.2,40000,80,TCP,663
1765271957.979337,10.0.0.1,10.0.0.2,40000,80,TCP,283
1765271957.9870245,10.0.0.1,10.0.0.2,40000,80,TCP,1429
1765271957.9888093,10.0.0.1,10.0.0.2,40000,80,TCP,505
1765271958.0199604,10.0.0.1,10.0.0.2,40000,80,TCP,1002
1765271958.0272734,10.0.0.1,10.0.0.2,40000,80,TCP,1176
1765271958.0374568,10.0.0.1,10.0.0.2,40000,80,TCP,329
1765271958.056134,10.0.0.1,10.0.0.2,40000,80,TCP,1175
1765271958.0702958,10.0.0.1,10.0.0.2,40000,80,TCP,1135
1765271958.092739,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.0934954,10.0.0.1,10.0.0.2,40000,80,TCP,769
1765271958.1480107,10.0.0.1,10.0.0.2,40000,80,TCP,99
1765271958.1685705,10.0.0.1,10.0.0.2,40000,80,TCP,732
1765271958.183506,10.0.0.1,10.0.0.2,40000,80,TCP,1167
1765271958.1930664,10.0.0.1,10.0.0.2,40000,80,TCP,899
1765271958.2157974,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.224316,10.0.0.1,10.0.0.2,40000,80,TCP,649
1765271958.2378895,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.288801,10.0.0.1,10.0.0.2,40000,80,TCP,264
1765271958.3241458,10.0.0.1,10.0.0.2,40000,80,TCP,866
1765271958.326001,10.0.0.1,10.0.0.2,40000,80,TCP,439
1765271958.348069,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.3750372,10.0.0.1,10.0.0.2,40000,80,TCP,1388
1765271958.4361691,10.0.0.1,10.0.0.2,40000,80,TCP,840
1765271958.4683423,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.4906487,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.4958873,10.0.0.1,10.0.0.2,40000,80,TCP,198
1765271958.5134099,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.5150802,10.0.0.1,10.0.0.2,40000,80,TCP,1304
1765271958.5792892,10.0.0.1,10.0.0.2,40000,80,TCP,189
1765271958.5803106,10.0.0.1,10.0.0.2,40000,80,TCP,1238
1765271958.635063,10.0.0.1,10.0.0.2,40000,80,TCP,599
1765271958.666136,10.0.0.1,10.0.0.2,40000,80,TCP,95
1765271958.7107172,10.0.0.1,10.0.0.2,40000,80,TCP,331
1765271958.7508187,10.0.0.1,10.0.0.2,40000,80,TCP,1271
1765271958.75098,10.0.0.1,10.0.0.2,40000,80,TCP,301
1765271958.7851152,10.0.0.1,10.0.0.2,40000,80,TCP,1453
1765271958.8217237,10.0.0.1,10.0.0.2,40000,80,TCP,336
1765271958.8320293,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.834643,10.0.0.1,10.0.0.2,40000,80,TCP,1462
1765271958.884452,10.0.0.1,10.0.0.2,40000,80,TCP,783
1765271958.8996534,10.0.0.1,10.0.0.2,40000,80,TCP,1497
1765271958.908288,10.0.0.1,10.0.0.2,40000,80,TCP,420
1765271958.9226089,10.0.0.1,10.0.0.2,40000,80,TCP,1256
1765271958.9568055,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.9603,10.0.0.1,10.0.0.2,40000,80,TCP,205
1765271958.9615755,10.0.0.1,10.0.0.2,40000,80,TCP,304
1765271958.967184,10.0.0.1,10.0.0.2,40000,80,TCP,1345
1765271958.9776561,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271958.9989617,10.0.0.1,10.0.0.2,40000,80,TCP,1215
1765271959.0330915,10.0.0.1,10.0.0.2,40000,80,TCP,904
1765271959.0656548,10.0.0.1,10.0.0.2,40000,80,TCP,750
1765271959.0873902,10.0.0.1,10.0.0.2,40000,80,TCP,338
1765271959.098331,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.101628,10.0.0.1,10.0.0.2,40000,80,TCP,202
1765271959.1519282,10.0.0.1,10.0.0.2,40000,80,TCP,1006
1765271959.1833777,10.0.0.1,10.0.0.2,40000,80,TCP,899
1765271959.2221694,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.2442899,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.2468688,10.0.0.1,10.0.0.2,40000,80,TCP,703
1765271959.2566547,10.0.0.1,10.0.0.2,40000,80,TCP,484
1765271959.2660625,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.2752264,10.0.0.1,10.0.0.2,40000,80,TCP,353
1765271959.4217763,10.0.0.1,10.0.0.2,40000,80,TCP,865
1765271959.475318,10.0.0.1,10.0.0.2,40000,80,TCP,219
1765271959.5279653,10.0.0.1,10.0.0.2,40000,80,TCP,1232
1765271959.5419378,10.0.0.1,10.0.0.2,40000,80,TCP,1173
1765271959.5733762,10.0.0.1,10.0.0.2,40000,80,TCP,627
1765271959.686828,10.0.0.1,10.0.0.2,40000,80,TCP,752
1765271959.7121937,10.0.0.1,10.0.0.2,40000,80,TCP,81
1765271959.7176604,10.0.0.1,10.0.0.2,40000,80,TCP,1309
1765271959.719218,10.0.0.1,10.0.0.2,40000,80,TCP,1131
1765271959.7229915,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.7352827,10.0.0.1,10.0.0.2,40000,80,TCP,500
1765271959.735518,10.0.0.1,10.0.0.2,40000,80,TCP,584
1765271959.7667649,10.0.0.1,10.0.0.2,40000,80,TCP,1266
1765271959.7922041,10.0.0.1,10.0.0.2,40000,80,TCP,1302
1765271959.8245597,10.0.0.1,10.0.0.2,40000,80,TCP,1150
1765271959.8438575,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.8648586,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271959.8823485,10.0.0.1,10.0.0.2,40000,80,TCP,433
1765271959.882702,10.0.0.1,10.0.0.2,40000,80,TCP,1179
1765271959.8863688,10.0.0.1,10.0.0.2,40000,80,TCP,826
1765271959.8971715,10.0.0.1,10.0.0.2,40000,80,TCP,638
1765271959.9934437,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.0001237,10.0.0.1,10.0.0.2,40000,80,TCP,650
1765271960.0032108,10.0.0.1,10.0.0.2,40000,80,TCP,965
1765271960.0053105,10.0.0.1,10.0.0.2,40000,80,TCP,665
1765271960.0161207,10.0.0.1,10.0.0.2,40000,80,TCP,1134
1765271960.03259,10.0.0.1,10.0.0.2,40000,80,TCP,1499
1765271960.0590367,10.0.0.1,10.0.0.2,40000,80,TCP,654
1765271960.085507,10.0.0.1,10.0.0.2,40000,80,TCP,275
1765271960.1061842,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.1261284,10.0.0.1,10.0.0.2,40000,80,TCP,1473
1765271960.1261828,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.1339493,10.0.0.1,10.0.0.2,40000,80,TCP,743
1765271960.1467433,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.2158375,10.0.0.1,10.0.0.2,40000,80,TCP,777
1765271960.2271404,10.0.0.1,10.0.0.2,40000,80,TCP,1404
1765271960.2321775,10.0.0.1,10.0.0.2,40000,80,TCP,227
1765271960.2361186,10.0.0.1,10.0.0.2,40000,80,TCP,1077
1765271960.2695022,10.0.0.1,10.0.0.2,40000,80,TCP,1334
1765271960.3364143,10.0.0.1,10.0.0.2,40000,80,TCP,359
1765271960.3473554,10.0.0.1,10.0.0.2,40000,80,TCP,243
1765271960.3496268,10.0.0.1,10.0.0.2,40000,80,TCP,202
1765271960.4335272,10.0.0.1,10.0.0.2,40000,80,TCP,927
1765271960.4458966,10.0.0.1,10.0.0.2,40000,80,TCP,589
1765271960.49069,10.0.0.1,10.0.0.2,40000,80,TCP,845
1765271960.5141573,10.0.0.1,10.0.0.2,40000,80,TCP,872
1765271960.5649903,10.0.0.1,10.0.0.2,40000,80,TCP,1156
1765271960.62868,10.0.0.1,10.0.0.2,40000,80,TCP,133
1765271960.635404,10.0.0.1,10.0.0.2,40000,80,TCP,893
1765271960.6421309,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.6447778,10.0.0.1,10.0.0.2,40000,80,TCP,592
1765271960.6652286,10.0.0.1,10.0.0.2,40000,80,TCP,772
1765271960.7472737,10.0.0.1,10.0.0.2,40000,80,TCP,866
1765271960.7547607,10.0.0.1,10.0.0.2,40000,80,TCP,748
1765271960.7652287,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.7748706,10.0.0.1,10.0.0.2,40000,80,TCP,597
1765271960.78656,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.8429532,10.0.0.1,10.0.0.2,40000,80,TCP,128
1765271960.915047,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271960.9386215,10.0.0.1,10.0.0.2,40000,80,TCP,577
1765271960.9481115,10.0.0.1,10.0.0.2,40000,80,TCP,1189
1765271960.9610896,10.0.0.1,10.0.0.2,40000,80,TCP,70
1765271960.9733622,10.0.0.1,10.0.0.2,40000,80,TCP,1220
1765271960.9845102,10.0.0.1,10.0.0.2,40000,80,TCP,1021
1765271961.0337615,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.0562015,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.0674007,10.0.0.1,10.0.0.2,40000,80,TCP,1066
1765271961.0783172,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.1138153,10.0.0.1,10.0.0.2,40000,80,TCP,774
1765271961.1159542,10.0.0.1,10.0.0.2,40000,80,TCP,1047
1765271961.1206677,10.0.0.1,10.0.0.2,40000,80,TCP,1399
1765271961.2621288,10.0.0.1,10.0.0.2,40000,80,TCP,1492
1765271961.3056378,10.0.0.1,10.0.0.2,40000,80,TCP,1360
1765271961.3395457,10.0.0.1,10.0.0.2,40000,80,TCP,244
1765271961.3473132,10.0.0.1,10.0.0.2,40000,80,TCP,203
1765271961.3668692,10.0.0.1,10.0.0.2,40000,80,TCP,398
1765271961.5071912,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.518353,10.0.0.1,10.0.0.2,40000,80,TCP,364
1765271961.5470095,10.0.0.1,10.0.0.2,40000,80,TCP,434
1765271961.5797803,10.0.0.1,10.0.0.2,40000,80,TCP,1357
1765271961.5824327,10.0.0.1,10.0.0.2,40000,80,TCP,1039
1765271961.5995126,10.0.0.1,10.0.0.2,40000,80,TCP,1484
1765271961.626896,10.0.0.1,10.0.0.2,40000,80,TCP,197
1765271961.6331089,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.6342626,10.0.0.1,10.0.0.2,40000,80,TCP,1031
1765271961.652226,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.6957726,10.0.0.1,10.0.0.2,40000,80,TCP,730
1765271961.7079186,10.0.0.1,10.0.0.2,40000,80,TCP,211
1765271961.7266324,10.0.0.1,10.0.0.2,40000,80,TCP,1202
1765271961.728184,10.0.0.1,10.0.0.2,40000,80,TCP,422
1765271961.7563002,10.0.0.1,10.0.0.2,40000,80,TCP,114
1765271961.7819958,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.798474,10.0.0.1,10.0.0.2,40000,80,TCP,1037
1765271961.8189428,10.0.0.1,10.0.0.2,40000,80,TCP,1311
1765271961.8383858,10.0.0.1,10.0.0.2,40000,80,TCP,1483
1765271961.8624792,10.0.0.1,10.0.0.2,40000,80,TCP,1068
1765271961.8960798,10.0.0.3,10.0.0.4,0,0,ICMP,64
1765271961.9065182,10.0.0.1,10.0.0.2,40000,80,TCP,213
1765271961.917343,10.0.0.3,10.0.0.4,0,0,ICMP,64
